image_id,region,case_id,case_number,method,image_path
Image_001,face,case030,30,SSOCT,rating_dataset/face/case030/SSOCT30.jpg
Image_002,hand,case006,6,SSOCT,rating_dataset/hand/case006/SSOCT6.jpg
Image_003,face,case004,4,OUR,rating_dataset/face/case004/ourface4.jpg
Image_004,face,case017,17,FFOCT,rating_dataset/face/case017/FFOCTface17.jpg
Image_005,face,case023,23,OUR,rating_dataset/face/case023/ourface23.jpg
Image_006,face,case018,18,OUR,rating_dataset/face/case018/ourface18.jpg
Image_007,face,case024,24,SSOCT,rating_dataset/face/case024/SSOCT24.jpg
Image_008,face,case015,15,FFOCT,rating_dataset/face/case015/FFOCTface15.jpg
Image_009,face,case014,14,SSOCT,rating_dataset/face/case014/SSOCT14.jpg
Image_010,hand,case008,8,OUR,rating_dataset/hand/case008/ourhandback8.jpg
Image_011,face,case019,19,CycleGAN,rating_dataset/face/case019/cycleganface19.jpg
Image_012,hand,case005,5,OUR,rating_dataset/hand/case005/ourhandback5.jpg
Image_013,face,case013,13,FFOCT,rating_dataset/face/case013/FFOCTface13.jpg
Image_014,face,case025,25,CycleGAN,rating_dataset/face/case025/cycleganface25.jpg
Image_015,face,case018,18,SSOCT,rating_dataset/face/case018/SSOCT18.jpg
Image_016,face,case003,3,SSOCT,rating_dataset/face/case003/SSOCT3.jpg
Image_017,hand,case005,5,CycleGAN,rating_dataset/hand/case005/cycleganhandback5.jpg
Image_018,face,case026,26,OUR,rating_dataset/face/case026/ourface26.jpg
Image_019,face,case016,16,SSOCT,rating_dataset/face/case016/SSOCT16.jpg
Image_020,face,case010,10,FFOCT,rating_dataset/face/case010/FFOCTface10.jpg
Image_021,face,case029,29,FFOCT,rating_dataset/face/case029/FFOCTface29.jpg
Image_022,hand,case006,6,FFOCT,rating_dataset/hand/case006/FFOCThandback6.jpg
Image_023,face,case021,21,CycleGAN,rating_dataset/face/case021/cycleganface21.jpg
Image_024,face,case012,12,FFOCT,rating_dataset/face/case012/FFOCTface12.jpg
Image_025,face,case030,30,CycleGAN,rating_dataset/face/case030/cycleganface30.jpg
Image_026,hand,case009,9,FFOCT,rating_dataset/hand/case009/FFOCThandback9.jpg
Image_027,face,case008,8,FFOCT,rating_dataset/face/case008/FFOCTface8.jpg
Image_028,face,case028,28,SSOCT,rating_dataset/face/case028/SSOCT28.jpg
Image_029,hand,case003,3,OUR,rating_dataset/hand/case003/ourhandback3.jpg
Image_030,face,case006,6,OUR,rating_dataset/face/case006/ourface6.jpg
Image_031,face,case014,14,OUR,rating_dataset/face/case014/ourface14.jpg
Image_032,face,case009,9,SSOCT,rating_dataset/face/case009/SSOCT9.jpg
Image_033,face,case019,19,FFOCT,rating_dataset/face/case019/FFOCTface19.jpg
Image_034,hand,case007,7,SSOCT,rating_dataset/hand/case007/SSOCT7.jpg
Image_035,face,case010,10,SSOCT,rating_dataset/face/case010/SSOCT10.jpg
Image_036,face,case003,3,OUR,rating_dataset/face/case003/ourface3.jpg
Image_037,face,case016,16,CycleGAN,rating_dataset/face/case016/cycleganface16.jpg
Image_038,face,case027,27,CycleGAN,rating_dataset/face/case027/cycleganface27.jpg
Image_039,face,case008,8,CycleGAN,rating_dataset/face/case008/cycleganface8.jpg
Image_040,hand,case001,1,SSOCT,rating_dataset/hand/case001/SSOCT1.jpg
Image_041,hand,case009,9,SSOCT,rating_dataset/hand/case009/SSOCT9.jpg
Image_042,hand,case006,6,CycleGAN,rating_dataset/hand/case006/cycleganhandback6.jpg
Image_043,hand,case010,10,FFOCT,rating_dataset/hand/case010/FFOCThandback10.jpg
Image_044,face,case011,11,OUR,rating_dataset/face/case011/ourface11.jpg
Image_045,hand,case001,1,FFOCT,rating_dataset/hand/case001/FFOCThandback1.jpg
Image_046,face,case021,21,OUR,rating_dataset/face/case021/ourface21.jpg
Image_047,face,case009,9,FFOCT,rating_dataset/face/case009/FFOCTface9.jpg
Image_048,face,case008,8,SSOCT,rating_dataset/face/case008/SSOCT8.jpg
Image_049,hand,case004,4,CycleGAN,rating_dataset/hand/case004/cycleganhandback4.jpg
Image_050,face,case006,6,FFOCT,rating_dataset/face/case006/FFOCTface6.jpg
Image_051,hand,case007,7,FFOCT,rating_dataset/hand/case007/FFOCThandback7.jpg
Image_052,face,case029,29,OUR,rating_dataset/face/case029/ourface29.jpg
Image_053,face,case023,23,SSOCT,rating_dataset/face/case023/SSOCT23.jpg
Image_054,face,case016,16,OUR,rating_dataset/face/case016/ourface16.jpg
Image_055,face,case029,29,CycleGAN,rating_dataset/face/case029/cycleganface29.jpg
Image_056,hand,case004,4,OUR,rating_dataset/hand/case004/ourhandback4.jpg
Image_057,face,case028,28,FFOCT,rating_dataset/face/case028/FFOCTface28.jpg
Image_058,face,case011,11,CycleGAN,rating_dataset/face/case011/cycleganface11.jpg
Image_059,face,case025,25,SSOCT,rating_dataset/face/case025/SSOCT25.jpg
Image_060,face,case015,15,CycleGAN,rating_dataset/face/case015/cycleganface15.jpg
Image_061,hand,case002,2,CycleGAN,rating_dataset/hand/case002/cycleganhandback2.jpg
Image_062,hand,case003,3,SSOCT,rating_dataset/hand/case003/SSOCT3.jpg
Image_063,face,case022,22,CycleGAN,rating_dataset/face/case022/cycleganface22.jpg
Image_064,face,case027,27,FFOCT,rating_dataset/face/case027/FFOCTface27.jpg
Image_065,face,case026,26,CycleGAN,rating_dataset/face/case026/cycleganface26.jpg
Image_066,face,case004,4,CycleGAN,rating_dataset/face/case004/cycleganface4.jpg
Image_067,face,case017,17,CycleGAN,rating_dataset/face/case017/cycleganface17.jpg
Image_068,hand,case006,6,OUR,rating_dataset/hand/case006/ourhandback6.jpg
Image_069,face,case007,7,OUR,rating_dataset/face/case007/ourface7.jpg
Image_070,face,case001,1,SSOCT,rating_dataset/face/case001/SSOCT1.jpg
Image_071,hand,case007,7,OUR,rating_dataset/hand/case007/ourhandback7.jpg
Image_072,face,case025,25,OUR,rating_dataset/face/case025/ourface25.jpg
Image_073,hand,case008,8,FFOCT,rating_dataset/hand/case008/FFOCThandback8.jpg
Image_074,face,case010,10,CycleGAN,rating_dataset/face/case010/cycleganface10.jpg
Image_075,face,case026,26,FFOCT,rating_dataset/face/case026/FFOCTface26.jpg
Image_076,face,case012,12,OUR,rating_dataset/face/case012/ourface12.jpg
Image_077,face,case013,13,CycleGAN,rating_dataset/face/case013/cycleganface13.jpg
Image_078,face,case028,28,OUR,rating_dataset/face/case028/ourface28.jpg
Image_079,face,case022,22,OUR,rating_dataset/face/case022/ourface22.jpg
Image_080,face,case009,9,OUR,rating_dataset/face/case009/ourface9.jpg
Image_081,face,case005,5,FFOCT,rating_dataset/face/case005/FFOCTface5.jpg
Image_082,face,case027,27,SSOCT,rating_dataset/face/case027/SSOCT27.jpg
Image_083,hand,case009,9,OUR,rating_dataset/hand/case009/ourhandback9.jpg
Image_084,hand,case002,2,OUR,rating_dataset/hand/case002/ourhandback2.jpg
Image_085,face,case007,7,FFOCT,rating_dataset/face/case007/FFOCTface7.jpg
Image_086,hand,case010,10,OUR,rating_dataset/hand/case010/ourhandback10.jpg
Image_087,face,case013,13,SSOCT,rating_dataset/face/case013/SSOCT13.jpg
Image_088,face,case030,30,FFOCT,rating_dataset/face/case030/FFOCTface30.jpg
Image_089,face,case001,1,FFOCT,rating_dataset/face/case001/FFOCTface1.jpg
Image_090,face,case006,6,CycleGAN,rating_dataset/face/case006/cycleganface6.jpg
Image_091,face,case001,1,CycleGAN,rating_dataset/face/case001/cycleganface1.jpg
Image_092,face,case006,6,SSOCT,rating_dataset/face/case006/SSOCT6.jpg
Image_093,face,case005,5,OUR,rating_dataset/face/case005/ourface5.jpg
Image_094,hand,case007,7,CycleGAN,rating_dataset/hand/case007/cycleganhandback7.jpg
Image_095,face,case005,5,SSOCT,rating_dataset/face/case005/SSOCT5.jpg
Image_096,face,case020,20,SSOCT,rating_dataset/face/case020/SSOCT20.jpg
Image_097,face,case029,29,SSOCT,rating_dataset/face/case029/SSOCT29.jpg
Image_098,face,case018,18,CycleGAN,rating_dataset/face/case018/cycleganface18.jpg
Image_099,hand,case003,3,CycleGAN,rating_dataset/hand/case003/cycleganhandback3.jpg
Image_100,face,case015,15,OUR,rating_dataset/face/case015/ourface15.jpg
Image_101,face,case026,26,SSOCT,rating_dataset/face/case026/SSOCT26.jpg
Image_102,hand,case008,8,SSOCT,rating_dataset/hand/case008/SSOCT8.jpg
Image_103,face,case007,7,CycleGAN,rating_dataset/face/case007/cycleganface7.jpg
Image_104,face,case004,4,FFOCT,rating_dataset/face/case004/FFOCTface4.jpg
Image_105,face,case023,23,FFOCT,rating_dataset/face/case023/FFOCTface23.jpg
Image_106,hand,case004,4,SSOCT,rating_dataset/hand/case004/SSOCT4.jpg
Image_107,face,case013,13,OUR,rating_dataset/face/case013/ourface13.jpg
Image_108,hand,case004,4,FFOCT,rating_dataset/hand/case004/FFOCThandback4.jpg
Image_109,face,case010,10,OUR,rating_dataset/face/case010/ourface10.jpg
Image_110,face,case017,17,OUR,rating_dataset/face/case017/ourface17.jpg
Image_111,face,case022,22,SSOCT,rating_dataset/face/case022/SSOCT22.jpg
Image_112,face,case007,7,SSOCT,rating_dataset/face/case007/SSOCT7.jpg
Image_113,face,case003,3,FFOCT,rating_dataset/face/case003/FFOCTface3.jpg
Image_114,face,case019,19,OUR,rating_dataset/face/case019/ourface19.jpg
Image_115,face,case020,20,FFOCT,rating_dataset/face/case020/FFOCTface20.jpg
Image_116,face,case020,20,CycleGAN,rating_dataset/face/case020/cycleganface20.jpg
Image_117,face,case024,24,OUR,rating_dataset/face/case024/ourface24.jpg
Image_118,face,case020,20,OUR,rating_dataset/face/case020/ourface20.jpg
Image_119,face,case030,30,OUR,rating_dataset/face/case030/ourface30.jpg
Image_120,face,case011,11,FFOCT,rating_dataset/face/case011/FFOCTface11.jpg
Image_121,face,case015,15,SSOCT,rating_dataset/face/case015/SSOCT15.jpg
Image_122,face,case012,12,SSOCT,rating_dataset/face/case012/SSOCT12.jpg
Image_123,face,case024,24,FFOCT,rating_dataset/face/case024/FFOCTface24.jpg
Image_124,hand,case001,1,OUR,rating_dataset/hand/case001/ourhandback1.jpg
Image_125,face,case021,21,SSOCT,rating_dataset/face/case021/SSOCT21.jpg
Image_126,hand,case005,5,SSOCT,rating_dataset/hand/case005/SSOCT5.jpg
Image_127,face,case028,28,CycleGAN,rating_dataset/face/case028/cycleganface28.jpg
Image_128,face,case009,9,CycleGAN,rating_dataset/face/case009/cycleganface9.jpg
Image_129,face,case011,11,SSOCT,rating_dataset/face/case011/SSOCT11.jpg
Image_130,hand,case002,2,FFOCT,rating_dataset/hand/case002/FFOCThandback2.jpg
Image_131,face,case019,19,SSOCT,rating_dataset/face/case019/SSOCT19.jpg
Image_132,face,case002,2,SSOCT,rating_dataset/face/case002/SSOCT2.jpg
Image_133,face,case008,8,OUR,rating_dataset/face/case008/ourface8.jpg
Image_134,face,case002,2,OUR,rating_dataset/face/case002/ourface2.jpg
Image_135,face,case004,4,SSOCT,rating_dataset/face/case004/SSOCT4.jpg
Image_136,face,case001,1,OUR,rating_dataset/face/case001/ourface1.jpg
Image_137,face,case002,2,CycleGAN,rating_dataset/face/case002/cycleganface2.jpg
Image_138,face,case017,17,SSOCT,rating_dataset/face/case017/SSOCT17.jpg
Image_139,face,case023,23,CycleGAN,rating_dataset/face/case023/cycleganface23.jpg
Image_140,face,case022,22,FFOCT,rating_dataset/face/case022/FFOCTface22.jpg
Image_141,face,case014,14,FFOCT,rating_dataset/face/case014/FFOCTface14.jpg
Image_142,hand,case010,10,SSOCT,rating_dataset/hand/case010/SSOCT10.jpg
Image_143,face,case014,14,CycleGAN,rating_dataset/face/case014/cycleganface14.jpg
Image_144,face,case016,16,FFOCT,rating_dataset/face/case016/FFOCTface16.jpg
Image_145,hand,case008,8,CycleGAN,rating_dataset/hand/case008/cycleganhandback8.jpg
Image_146,hand,case005,5,FFOCT,rating_dataset/hand/case005/FFOCThandback5.jpg
Image_147,face,case024,24,CycleGAN,rating_dataset/face/case024/cycleganface24.jpg
Image_148,face,case003,3,CycleGAN,rating_dataset/face/case003/cycleganface3.jpg
Image_149,face,case021,21,FFOCT,rating_dataset/face/case021/FFOCTface21.jpg
Image_150,face,case027,27,OUR,rating_dataset/face/case027/ourface27.jpg
Image_151,face,case012,12,CycleGAN,rating_dataset/face/case012/cycleganface12.jpg
Image_152,hand,case003,3,FFOCT,rating_dataset/hand/case003/FFOCThandback3.jpg
Image_153,hand,case009,9,CycleGAN,rating_dataset/hand/case009/cycleganhandback9.jpg
Image_154,hand,case001,1,CycleGAN,rating_dataset/hand/case001/cycleganhandback1.jpg
Image_155,face,case018,18,FFOCT,rating_dataset/face/case018/FFOCTface18.jpg
Image_156,hand,case010,10,CycleGAN,rating_dataset/hand/case010/cycleganhandback10.jpg
Image_157,hand,case002,2,SSOCT,rating_dataset/hand/case002/SSOCT2.jpg
Image_158,face,case025,25,FFOCT,rating_dataset/face/case025/FFOCTface25.jpg
Image_159,face,case005,5,CycleGAN,rating_dataset/face/case005/cycleganface5.jpg
Image_160,face,case002,2,FFOCT,rating_dataset/face/case002/FFOCTface2.jpg
